"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 30 16:29:38 GMT 2021","Fri Jul 30 16:29:39 GMT 2021","751","","tests/helloworld.spec.js","","","","basic test",""
"failed","Fri Jul 30 16:29:37 GMT 2021","Fri Jul 30 16:29:37 GMT 2021","146","","tests/foo.spec.js","describe area","","","test area3",""
"passed","Fri Jul 30 16:29:35 GMT 2021","Fri Jul 30 16:29:37 GMT 2021","1494","","tests/foo.spec.js","describe area","","","test area1",""
"passed","Fri Jul 30 16:29:37 GMT 2021","Fri Jul 30 16:29:37 GMT 2021","650","","tests/foo.spec.js","describe area","","","test area2",""
